diagnosis,field,isi,sumber,rs_id,region_id
Pneumonia,justifikasi,"Diagnosis pneumonia harus berdasarkan kriteria klinis: demam >38°C, batuk produktif, sesak nafas, dan konfirmasi radiologi foto thorax.",PNPK Pneumonia Kemenkes 2023,,
Pneumonia,syarat_klinis,"Syarat klinis pneumonia: (1) Gejala mayor: demam, batuk produktif, sesak nafas, (2) Gejala minor: nyeri dada, ronki basah halus",Pedoman PDPI 2023,,
Pneumonia,bukti_klinis,"Bukti klinis wajib: Foto thorax AP/PA menunjukkan infiltrat, Laboratorium: leukosit >10.000 atau <4.000, kultur sputum jika memungkinkan",Standar Pelayanan Medis Pneumonia,,
Pneumonia,kode_icd,"Kode ICD-10 untuk pneumonia: J18.9 (Pneumonia tidak spesifik), J15.9 (Pneumonia bakteri), J12.9 (Pneumonia virus). Gunakan kode yang paling spesifik sesuai hasil kultur.",ICD-10 WHO + Mapping BPJS Kesehatan,,
Pneumonia,lama_rawat,"Lama rawat pneumonia: Pneumonia ringan 3-4 hari, pneumonia sedang 5-7 hari, pneumonia berat 7-14 hari. Perpanjangan memerlukan justifikasi klinis.",Guideline LOS Pneumonia BPJS,,
"Diabetes Mellitus",justifikasi,"Diagnosis DM berdasarkan: GDP ≥126 mg/dL, GD2PP ≥200 mg/dL, HbA1c ≥6.5%, atau gejala klasik + GDS ≥200 mg/dL",Konsensus PERKENI 2021,,
"Diabetes Mellitus",syarat_klinis,"Syarat klinis DM: Gejala klasik (poliuria, polidipsia, polifagia, penurunan BB) + pemeriksaan laboratorium yang mendukung",Pedoman Tatalaksana DM PERKENI,,
Hipertensi,justifikasi,"Diagnosis hipertensi: Tekanan darah sistolik ≥140 mmHg atau diastolik ≥90 mmHg pada 2 kali pengukuran terpisah",JNC 8 Guidelines + Pedoman Kemenkes,,
Hipertensi,syarat_klinis,"Syarat klinis hipertensi: Pengukuran TD dengan teknik yang benar, minimal 2x pengukuran, interval 1-2 minggu, kondisi pasien tenang",Konsensus Hipertensi PERHI 2019,rs_notopuro,jatim
"Appendicitis Acute",justifikasi,"Diagnosis appendicitis akut berdasarkan: Nyeri perut kanan bawah, demam, leukositosis, USG/CT scan mendukung, Alvarado score ≥7",Guideline Appendicitis WSES 2020,,
